Pair,Side,month,dia,Executed,Amount,Fee,profit,ultima_compra,Amount_anterior,buy_group,sell_profit,profit_acumulado,lucro,sell_qty,qty_eth_acumulada
ETHUSDC,BUY,2026-02,2026-02-06,1.84,3731.52,0.00425531,3731.51574469,3731.51574469,0.0,1,0.0,0.0,,0.0,0.0
ETHUSDC,SELL,2026-02,2026-02-06,1.84,3791.20338,3.74233599,3787.46104401,3731.51574469,,1,3787.46104401,3787.46104401,55.94529932000023,1.84,1.84
ETHUSDC,BUY,2026-02,2026-02-07,5.642,11671.04017,0.005642,11671.034528,11671.034528,0.0,2,0.0,0.0,,0.0,0.0
ETHUSDC,SELL,2026-02,2026-02-07,2.8129,5856.4578,5.8564578,5850.6013422000005,11671.034528,,2,5850.6013422000005,5850.6013422000005,-5820.4331858,2.8129,2.8129
ETHUSDC,SELL,2026-02,2026-02-08,2.8234,5985.608,5.985608,5979.622392,11671.034528,,2,5979.622392,11830.2237342,159.18920620000063,2.8234,5.6363
ETHUSDC,BUY,2026-02,2026-02-09,2.3848,4864.992,0.0023848,4864.9896152,4864.9896152,0.0,3,0.0,0.0,,0.0,0.0
ETHUSDC,SELL,2026-02,2026-02-09,2.3824,5003.04,5.00304,4998.03696,4864.9896152,,3,4998.03696,4998.03696,133.04734480000025,2.3824,2.3824
ETHUSDC,BUY,2026-02,2026-02-10,4.9201,9867.466059999999,0.0049201,9867.461139899999,9867.461139899999,0.0,4,0.0,0.0,,0.0,0.0
ETHUSDC,SELL,2026-02,2026-02-10,4.915100000000001,9971.08303,9.971083029999999,9961.11194697,9867.461139899999,,4,9961.11194697,9961.11194697,93.65080707000197,4.915100000000001,4.915100000000001
ETHUSDC,BUY,2026-02,2026-02-11,2.4825,4947.6225,0.0024825,4947.6200175,4947.6200175,0.0,5,0.0,0.0,,0.0,0.0
ETHUSDC,SELL,2026-02,2026-02-12,2.4800999999999997,4947.7995,0.00600818,4947.79349182,4947.6200175,,5,4947.79349182,4947.79349182,0.17347431999951368,2.4800999999999997,2.4800999999999997
ETHUSDC,BUY,2026-02,2026-02-13,2.4315,4947.85935,0.0024315,4947.856918500001,4947.856918500001,0.0,6,0.0,0.0,,0.0,0.0
