Time,Pair,Side,Price,Executed,Amount,Fee
2026-07-10 15:49:32,ETHEUR,SELL,1580,1ETH,1580EUR,1.58EUR
2026-07-04 19:51:02,ETHEUR,SELL,1578,0.6661ETH,1051.1058EUR,1.0511058EUR
2026-07-04 19:51:02,ETHEUR,SELL,1578,0.3339ETH,526.8942EUR,0.5268942EUR
2026-07-03 15:41:28,ETHEUR,SELL,1527,0.2ETH,305.4EUR,0.3054EUR
2026-06-30 01:24:57,ETHEUR,SELL,1406.5,0.0184ETH,25.8796EUR,0.0258796EUR
2026-06-30 01:24:57,ETHEUR,SELL,1406.5,0.038ETH,53.447EUR,0.053447EUR
2026-06-30 01:24:57,ETHEUR,SELL,1406.5,0.0095ETH,13.36175EUR,0.01336175EUR
2026-06-30 01:24:54,ETHEUR,SELL,1406.5,0.0051ETH,7.17315EUR,0.00717315EUR
2026-06-30 01:20:42,ETHEUR,SELL,1407.97,0.0095ETH,13.375715EUR,0.01337572EUR
2026-06-30 01:20:42,ETHEUR,SELL,1407.97,0.0381ETH,53.643657EUR,0.05364366EUR
2026-06-29 19:12:12,ETHEUR,SELL,1397,0.0073ETH,10.1981EUR,0.0101981EUR
2026-06-29 19:12:12,ETHEUR,SELL,1397,0.0073ETH,10.1981EUR,0.0101981EUR
2026-06-29 19:12:12,ETHEUR,SELL,1397,0.0031ETH,4.3307EUR,0.0043307EUR
2026-06-29 19:12:12,ETHEUR,SELL,1397,0.0073ETH,10.1981EUR,0.0101981EUR
2026-06-29 14:18:07,XRPEUR,SELL,0.9313,10.7XRP,9.96491EUR,0.00996491EUR
2026-06-27 14:52:25,XRPEUR,SELL,0.93,10.7XRP,9.951EUR,0.009951EUR
2026-06-26 19:10:33,ETHEUR,SELL,1390,0.0069ETH,9.591EUR,0.009591EUR
2026-06-26 19:10:33,ETHEUR,SELL,1390,0.0096ETH,13.344EUR,0.013344EUR
2026-06-25 12:33:17,ETHEUR,SELL,1445.23,0.0691ETH,99.865393EUR,0.09986539EUR
2026-06-25 11:59:13,ETHEUR,SELL,1449,0.0294ETH,42.6006EUR,0.0426006EUR
2026-06-25 11:59:11,ETHEUR,SELL,1449,0.012ETH,17.388EUR,0.017388EUR
2026-06-22 13:57:18,EURUSDC,BUY,1.1452,83.7EUR,95.85324USDC,0.079515EUR
2026-06-22 13:05:50,ETHEUR,SELL,1527,0.0654ETH,99.8658EUR,0.0998658EUR
2026-06-22 12:17:05,XRPEUR,SELL,0.992,15.1XRP,14.9792EUR,0.0149792EUR
2026-06-22 12:16:02,ETHUSDC,SELL,1748.2,0.0549ETH,95.97618USDC,0.09597618USDC
