Time;Valor
06/02/2026 22:11;-41,27
08/02/2026 22:17;-113,92
09/02/2026 19:01;-113,63
10/02/2026 18:29;-68,5
28/02/2026 13:11;-138
02/03/2026 17:21;-101
04/03/2026 10:03;-101
04/03/2026 23:26;-276
10/03/2026 20:04;-123
31/03/2026 15:57;-353,94
01/04/2026 15:53;-86,38
06/04/2026 12:41;-209,82
17/04/2026 18:42;-36,9
14/05/2026 22:39;-102,8
08/06/2026 15:03;-57
22/06/2026 13:45;-124,7
22/06/2026 13:58;-83
03/07/2026 19:51;-100
04/07/2026 14:40;-50
06/07/2026 15:15;-50
10/07/2026 20:23;-50
13/07/2026 13:13;-200
